Drug_1,Drug_2,Similarity,Relation
bivalirudin,cosyntropin,0.536923076923077,0
oxytocin,urofollitropin,0.8585858585858586,0
enfuvirtide,exenatide,0.6446199407699901,0
enfuvirtide,corticotropin,0.6871401151631478,0
enfuvirtide,pramlintide,0.5718475073313783,0
enfuvirtide,teriparatide,0.6944444444444444,0
enfuvirtide,corticorelin ovine triflutate,0.6988304093567251,0
enfuvirtide,secretin,0.524364406779661,0
folic acid,methotrexate,0.5652173913043478,0
folic acid,leucovorin,0.591304347826087,0
vitamin a,isotretinoin,0.7575757575757576,0
valsartan,losartan,0.5128205128205128,0
valsartan,olmesartan,0.525,0
ramipril,trandolapril,0.9431818181818182,0
ramipril,perindopril,0.6666666666666666,0
ramipril,quinapril,0.5818181818181818,0
ramipril,enalapril,0.7282608695652174,0
ramipril,moexipril,0.5333333333333333,0
amphetamine,phentermine,0.5263157894736842,0
amphetamine,selegiline,0.5227272727272727,0
amphetamine,dextroamphetamine,1.0,0
amphetamine,methamphetamine,0.6388888888888888,0
pentagastrin,sincalide,0.5732758620689655,0
lorazepam,oxazepam,0.7313432835820896,0
lorazepam,clonazepam,0.5316455696202531,0
lorazepam,clorazepate,0.5714285714285714,0
esmolol,betaxolol,0.6216216216216216,0
esmolol,metoprolol,0.7619047619047619,0
esmolol,atenolol,0.6923076923076923,0
esmolol,bisoprolol,0.5844155844155844,0
phentermine,dextroamphetamine,0.5263157894736842,0
vidarabine,adenosine,1.0,0
vidarabine,azacitidine,0.5714285714285714,0
vidarabine,nelarabine,0.6086956521739131,0
vidarabine,fludarabine,0.5128205128205128,0
vidarabine,regadenoson,0.5232558139534884,0
betaxolol,metoprolol,0.7164179104477612,0
betaxolol,atenolol,0.5833333333333334,0
betaxolol,bisoprolol,0.5949367088607594,0
fluconazole,voriconazole,0.5465116279069767,0
erythromycin,azithromycin,0.8299319727891157,0
erythromycin,clarithromycin,0.8943661971830986,0
caffeine,theophylline,0.5319148936170213,0
caffeine,dyphylline,0.5740740740740741,0
sildenafil,vardenafil,0.6260869565217392,0
azithromycin,clarithromycin,0.7662337662337663,0
ticlopidine,clopidogrel,0.5492957746478874,0
trospium,mepenzolate,0.6020408163265306,0
midodrine,methoxamine,0.5344827586206896,0
pantoprazole,omeprazole,0.5730337078651685,0
citalopram,escitalopram,1.0,0
nelfinavir,saquinavir,0.5337423312883436,0
glimepiride,glipizide,0.5041322314049587,0
lovastatin,simvastatin,0.7802197802197802,0
temazepam,alprazolam,0.5375,0
temazepam,diazepam,0.7058823529411765,0
temazepam,oxazepam,0.6811594202898551,0
temazepam,estazolam,0.5316455696202531,0
temazepam,clorazepate,0.5714285714285714,0
cladribine,decitabine,0.5645161290322581,0
methysergide,ergonovine,0.6022727272727273,0
methysergide,methylergonovine,0.7349397590361446,0
phenytoin,fosphenytoin,0.5822784810126582,0
doxycycline,tetracycline,0.6310679611650486,0
doxycycline,oxytetracycline,0.5740740740740741,0
doxycycline,minocycline,0.5405405405405406,0
metoprolol,atenolol,0.6666666666666666,0
metoprolol,bisoprolol,0.647887323943662,0
isradipine,nimodipine,0.5048543689320388,0
isradipine,nisoldipine,0.5360824742268041,0
isradipine,felodipine,0.5494505494505495,0
isradipine,nifedipine,0.5161290322580645,0
liothyronine,levothyroxine,0.726027397260274,0
venlafaxine,desvenlafaxine,0.7580645161290323,0
atomoxetine,fluoxetine,0.56,0
atomoxetine,duloxetine,0.5194805194805194,0
atomoxetine,orphenadrine,0.5135135135135135,0
chlorambucil,bendamustine,0.581081081081081,0
chlorambucil,melphalan,0.6666666666666666,0
morphine,codeine,0.782608695652174,0
morphine,hydromorphone,0.5384615384615384,0
zolmitriptan,sumatriptan,0.5540540540540541,0
zolmitriptan,almotriptan,0.5060240963855421,0
zolmitriptan,rizatriptan,0.5128205128205128,0
amitriptyline,imipramine,0.5641025641025641,0
amitriptyline,nortriptyline,0.7647058823529411,0
amitriptyline,cyclobenzaprine,0.6266666666666667,0
amitriptyline,doxepin,0.7183098591549296,0
hydromorphone,oxymorphone,0.5844155844155844,0
methadone,propoxyphene,0.5581395348837209,0
olanzapine,clozapine,0.5975609756097561,0
atenolol,bisoprolol,0.5675675675675675,0
terfenadine,fexofenadine,0.8636363636363636,0
alfuzosin,terazosin,0.5288461538461539,0
sulfadiazine,sulfamethizole,0.5079365079365079,0
sulfadiazine,sulfathiazole,0.603448275862069,0
vinorelbine,vincristine,0.7083333333333334,0
vinorelbine,vinblastine,0.7759562841530054,0
clozapine,loxapine,0.5764705882352941,0
levonorgestrel,nandrolone decanoate,0.5844155844155844,0
levonorgestrel,norethindrone acetate,0.6071428571428571,0
amlodipine,felodipine,0.5824175824175825,0
amlodipine,clevidipine,0.5047619047619047,0
nimodipine,nisoldipine,0.56,0
nimodipine,nicardipine,0.5892857142857143,0
carisoprodol,meprobamate,0.6538461538461539,0
progesterone,testosterone,0.7571428571428571,0
progesterone,methyltestosterone,0.6233766233766234,0
nisoldipine,nicardipine,0.5087719298245614,0
nisoldipine,felodipine,0.5604395604395604,0
nisoldipine,nifedipine,0.7974683544303798,0
alprazolam,midazolam,0.5662650602409639,0
alprazolam,diazepam,0.6575342465753424,0
alprazolam,triazolam,0.7567567567567568,0
alprazolam,estazolam,0.7027027027027027,0
rosiglitazone,pioglitazone,0.6,0
spironolactone,eplerenone,0.5277777777777778,0
methylphenidate,dexmethylphenidate,1.0,0
zolpidem,alpidem,0.5053763440860215,0
prochlorperazine,chlorpromazine,0.6219512195121951,0
prochlorperazine,fluphenazine,0.6224489795918368,0
prochlorperazine,thioridazine,0.5051546391752577,0
prochlorperazine,trifluoperazine,0.7790697674418605,0
prochlorperazine,perphenazine,0.788235294117647,0
gemcitabine,cytarabine,0.5666666666666667,0
teniposide,etoposide,0.8188405797101449,0
epirubicin,daunorubicin,0.8828828828828829,0
epirubicin,doxorubicin,1.0,0
epirubicin,idarubicin,0.7142857142857143,0
lansoprazole,rabeprazole,0.6904761904761905,0
lansoprazole,dexlansoprazole,1.0,0
meperidine,anileridine,0.5555555555555556,0
loratadine,desloratadine,0.6436781609195402,0
imipramine,chlorpromazine,0.5125,0
imipramine,desipramine,0.7647058823529411,0
imipramine,clomipramine,0.7464788732394366,0
nabumetone,naproxen,0.5833333333333334,0
quinine,quinidine,1.0,0
chlorpromazine,perphenazine,0.5617977528089888,0
chlorpromazine,clomipramine,0.6621621621621622,0
dicloxacillin,nafcillin,0.5046728971962616,0
dicloxacillin,oxacillin,0.6989247311827957,0
dicloxacillin,cloxacillin,0.7777777777777778,0
miglitol,miglustat,0.7111111111111111,0
zidovudine,telbivudine,0.6896551724137931,0
oxycodone,naltrexone,0.5813953488372093,0
oxycodone,naloxone,0.6024096385542169,0
oxycodone,oxymorphone,0.7887323943661971,0
tolmetin,zomepirac,0.5588235294117647,0
dextromethorphan,levorphanol,0.765625,0
trandolapril,perindopril,0.717391304347826,0
trandolapril,quinapril,0.5663716814159292,0
trandolapril,enalapril,0.7052631578947368,0
trandolapril,moexipril,0.5203252032520326,0
ciprofloxacin,norfloxacin,0.7236842105263158,0
nortriptyline,doxepin,0.5384615384615384,0
nortriptyline,desipramine,0.5526315789473685,0
vincristine,vinblastine,0.9137931034482759,0
benazepril,quinapril,0.5614035087719298,0
amoxapine,loxapine,0.7368421052631579,0
piroxicam,droxicam,0.5227272727272727,0
hydroxyzine,meclizine,0.5959595959595959,0
hydroxyzine,cetirizine,0.8117647058823529,0
hydroxyzine,chlorcyclizine,0.6707317073170732,0
hydroxyzine,levocetirizine dihydrochloride,0.8117647058823529,0
carbamazepine,oxcarbazepine,0.5588235294117647,0
propranolol,pindolol,0.640625,0
clonidine,tizanidine,0.5263157894736842,0
sulfamethizole,sulfathiazole,0.5862068965517241,0
valaciclovir,aciclovir,0.5882352941176471,0
carbenicillin,nafcillin,0.5151515151515151,0
carbenicillin,amoxicillin,0.5930232558139535,0
carbenicillin,piperacillin,0.5849056603773585,0
carbenicillin,ampicillin,0.7763157894736842,0
carbenicillin,oxacillin,0.5638297872340425,0
carbenicillin,cloxacillin,0.5050505050505051,0
carbenicillin,azlocillin,0.6458333333333334,0
nizatidine,ranitidine,0.6111111111111112,0
diclofenac,lumiracoxib,0.5652173913043478,0
diclofenac,aceclofenac,0.7727272727272727,0
doxazosin,prazosin,0.6509433962264151,0
