Drug_1,Drug_2,Similarity,Relation
oxytocin,urofollitropin,0.8585858585858586,0
enfuvirtide,exenatide,0.6446199407699901,0
enfuvirtide,corticotropin,0.6871401151631478,0
enfuvirtide,teriparatide,0.6944444444444444,0
enfuvirtide,corticorelin ovine triflutate,0.6988304093567251,0
vitamin a,isotretinoin,0.7575757575757576,0
ramipril,trandolapril,0.9431818181818182,0
ramipril,perindopril,0.6666666666666666,0
ramipril,enalapril,0.7282608695652174,0
amphetamine,dextroamphetamine,1.0,0
amphetamine,methamphetamine,0.6388888888888888,0
lorazepam,oxazepam,0.7313432835820896,0
esmolol,betaxolol,0.6216216216216216,0
esmolol,metoprolol,0.7619047619047619,0
esmolol,atenolol,0.6923076923076923,0
vidarabine,adenosine,1.0,0
vidarabine,nelarabine,0.6086956521739131,0
betaxolol,metoprolol,0.7164179104477612,0
erythromycin,azithromycin,0.8299319727891157,0
erythromycin,clarithromycin,0.8943661971830986,0
sildenafil,vardenafil,0.6260869565217392,0
azithromycin,clarithromycin,0.7662337662337663,0
trospium,mepenzolate,0.6020408163265306,0
citalopram,escitalopram,1.0,0
lovastatin,simvastatin,0.7802197802197802,0
temazepam,diazepam,0.7058823529411765,0
temazepam,oxazepam,0.6811594202898551,0
methysergide,ergonovine,0.6022727272727273,0
methysergide,methylergonovine,0.7349397590361446,0
doxycycline,tetracycline,0.6310679611650486,0
metoprolol,atenolol,0.6666666666666666,0
metoprolol,bisoprolol,0.647887323943662,0
liothyronine,levothyroxine,0.726027397260274,0
venlafaxine,desvenlafaxine,0.7580645161290323,0
chlorambucil,melphalan,0.6666666666666666,0
morphine,codeine,0.782608695652174,0
amitriptyline,nortriptyline,0.7647058823529411,0
amitriptyline,cyclobenzaprine,0.6266666666666667,0
amitriptyline,doxepin,0.7183098591549296,0
terfenadine,fexofenadine,0.8636363636363636,0
sulfadiazine,sulfathiazole,0.603448275862069,0
vinorelbine,vincristine,0.7083333333333334,0
vinorelbine,vinblastine,0.7759562841530054,0
levonorgestrel,norethindrone acetate,0.6071428571428571,0
carisoprodol,meprobamate,0.6538461538461539,0
progesterone,testosterone,0.7571428571428571,0
progesterone,methyltestosterone,0.6233766233766234,0
nisoldipine,nifedipine,0.7974683544303798,0
alprazolam,diazepam,0.6575342465753424,0
alprazolam,triazolam,0.7567567567567568,0
alprazolam,estazolam,0.7027027027027027,0
methylphenidate,dexmethylphenidate,1.0,0
prochlorperazine,chlorpromazine,0.6219512195121951,0
prochlorperazine,fluphenazine,0.6224489795918368,0
prochlorperazine,trifluoperazine,0.7790697674418605,0
prochlorperazine,perphenazine,0.788235294117647,0
teniposide,etoposide,0.8188405797101449,0
epirubicin,daunorubicin,0.8828828828828829,0
epirubicin,doxorubicin,1.0,0
epirubicin,idarubicin,0.7142857142857143,0
lansoprazole,rabeprazole,0.6904761904761905,0
lansoprazole,dexlansoprazole,1.0,0
loratadine,desloratadine,0.6436781609195402,0
imipramine,desipramine,0.7647058823529411,0
imipramine,clomipramine,0.7464788732394366,0
quinine,quinidine,1.0,0
chlorpromazine,clomipramine,0.6621621621621622,0
dicloxacillin,oxacillin,0.6989247311827957,0
dicloxacillin,cloxacillin,0.7777777777777778,0
